Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
204,Buddy Hield,SF,30,IND,75,73,31.6,6.0,13.2,.454,3.6,8.6,.421,2.4,4.6,.514,.591,1.3,1.6,.826,0.9,4.2,5.0,2.8,1.2,0.3,1.8,2.0,16.9,hieldbu01
205,Haywood Highsmith,SF,26,MIA,51,9,17.5,1.7,3.9,.429,0.7,2.0,.350,1.0,1.9,.516,.520,0.2,0.5,.462,1.0,2.4,3.3,0.7,0.7,0.3,0.7,1.5,4.3,highsha01
206,George Hill,PG,36,TOT,44,1,18.0,1.6,3.5,.455,0.6,2.0,.322,1.0,1.5,.627,.545,0.9,1.1,.760,0.3,1.5,1.8,2.3,0.6,0.1,0.7,1.2,4.7,hillge01
207,Malcolm Hill,SF,27,CHI,5,0,1.8,0.4,0.8,.500,0.2,0.6,.333,0.2,0.2,1.000,.625,0.0,0.0,,0.0,0.6,0.6,0.0,0.0,0.0,0.0,0.2,1.0,hillma01
208,Aaron Holiday,PG,26,ATL,58,5,13.5,1.5,3.5,.423,0.6,1.4,.418,0.9,2.1,.426,.505,0.4,0.5,.833,0.4,0.8,1.2,1.4,0.6,0.2,0.6,1.3,3.9,holidaa01
209,Jrue Holiday,PG,32,MIL,63,61,32.7,7.3,15.3,.477,2.3,6.2,.380,5.0,9.2,.542,.554,2.4,2.8,.862,1.2,3.8,5.0,7.3,1.2,0.4,2.9,1.8,19.4,holidjr01
210,Justin Holiday,SG,33,TOT,43,2,15.2,1.6,4.3,.383,1.0,3.0,.336,0.6,1.2,.500,.503,0.0,0.1,.500,0.1,1.0,1.1,0.9,0.4,0.4,0.5,1.5,4.3,holidju01
211,Richaun Holmes,C,29,SAC,38,1,8.4,1.3,2.0,.667,0.1,0.1,.800,1.2,1.8,.657,.693,0.4,0.5,.789,0.7,1.3,1.9,0.1,0.1,0.3,0.4,1.3,3.1,holmeri01
212,Al Horford,C,36,BOS,60,60,30.6,3.6,7.5,.477,2.3,5.0,.447,1.3,2.5,.537,.626,0.3,0.4,.714,1.2,5.1,6.2,3.0,0.5,1.0,0.6,1.9,9.7,horfoal01
213,Talen Horton-Tucker,SG,22,UTA,62,17,19.5,3.7,8.8,.419,0.9,3.0,.291,2.8,5.8,.487,.470,1.6,2.2,.734,0.6,2.5,3.1,3.6,0.6,0.5,1.9,1.7,9.9,hortota01
214,Danuel House Jr.,SF,29,PHI,50,4,14.1,1.5,3.2,.475,0.7,1.9,.351,0.8,1.3,.656,.579,0.6,0.9,.696,0.2,1.5,1.6,0.7,0.3,0.2,0.5,1.2,4.3,houseda01
215,Caleb Houstan,SF,20,ORL,46,2,15.3,1.2,3.3,.368,0.8,2.4,.339,0.4,0.9,.450,.493,0.2,0.3,.846,0.7,1.4,2.0,0.5,0.2,0.1,0.3,1.3,3.5,houstca01
216,Trevor Hudgins,PG,23,HOU,5,0,5.6,0.4,1.8,.222,0.4,1.6,.250,0.0,0.2,.000,.333,0.6,0.6,1.000,0.0,0.0,0.0,0.6,0.0,0.0,0.2,0.2,1.8,hudgitr01
217,Kevin Huerter,SG,24,SAC,70,70,29.6,5.6,11.5,.489,2.8,6.8,.409,2.9,4.7,.602,.609,1.3,1.9,.723,0.6,2.8,3.4,3.0,1.1,0.3,1.3,2.4,15.4,huertke01
218,Jay Huff,C,24,WAS,3,0,4.0,0.3,0.7,.500,0.0,0.3,.000,0.3,0.3,1.000,.500,1.7,1.7,1.000,0.0,1.3,1.3,0.3,0.0,0.0,0.7,0.3,2.3,huffja01
219,De'Andre Hunter,SF,25,ATL,65,65,32.0,5.7,12.3,.459,1.5,4.3,.351,4.2,8.0,.516,.520,2.6,3.1,.823,0.7,3.6,4.3,1.4,0.5,0.3,1.2,3.0,15.4,huntede01
220,Bones Hyland,PG,22,TOT,51,1,19.3,4.1,10.2,.403,2.1,5.6,.380,2.0,4.6,.432,.508,1.6,1.9,.844,0.4,1.9,2.3,3.2,0.7,0.3,1.5,1.7,12.0,hylanbo01
221,Serge Ibaka,C,33,MIL,16,0,11.6,1.6,3.4,.481,0.4,1.1,.333,1.3,2.3,.556,.537,0.5,0.8,.615,0.9,1.8,2.8,0.3,0.1,0.4,0.7,1.4,4.1,ibakase01
222,Andre Iguodala,SF,39,GSW,8,0,14.1,0.9,1.9,.467,0.1,1.1,.111,0.8,0.8,1.000,.500,0.3,0.4,.667,0.4,1.8,2.1,2.4,0.5,0.4,1.1,1.4,2.1,iguodan01
223,Joe Ingles,SF,35,MIL,41,0,22.9,2.4,5.5,.432,1.8,4.5,.404,0.6,1.1,.545,.595,0.4,0.5,.857,0.3,2.7,3.0,3.2,0.7,0.1,1.2,1.8,7.0,inglejo01
224,Brandon Ingram,SF,25,NOP,39,39,33.3,8.8,18.3,.479,1.6,3.9,.404,7.2,14.4,.499,.522,5.0,5.6,.882,0.4,4.7,5.1,5.4,0.6,0.4,3.2,2.6,24.1,ingrabr01
225,Kyrie Irving,PG,30,TOT,57,57,37.0,9.8,19.9,.489,3.2,8.4,.378,6.6,11.6,.570,.569,4.1,4.6,.901,1.0,4.1,5.1,5.5,1.1,0.8,2.2,2.7,26.8,irvinky01
226,Jonathan Isaac,PF,25,ORL,11,0,11.3,2.0,4.8,.415,0.5,1.4,.400,1.5,3.5,.421,.472,0.5,0.8,.556,1.4,2.6,4.0,0.5,1.3,0.4,0.4,0.5,5.0,isaacjo01
